VV,VH,smap_am,soil_moisture
-9.05861831,-15.98240773,0.28455373644799997,0.301
-9.511266138,-18.0851918,0.218600705266,0.172
-10.92661881,-19.47019865,0.286453694105,0.485
-8.650778376,-14.84056848,0.40720978379199996,0.14300000000000002
-6.633557351,-13.47062887,0.420252263546,0.375
-12.483400300000001,-20.18058254,0.220503598452,0.026000000000000002
-10.85959316,-17.42539706,0.18452072143599998,0.165
-9.036978077,-15.44782696,0.23884561657900003,0.39899999999999997
-9.298424897,-15.16967579,0.273034125566,0.26
-8.237373288999999,-15.15809442,0.417220830917,0.114
-8.02,-17.96,0.312492519617,0.071
-7.327519876,-12.79251634,0.326308071613,0.24600000000000002
-11.37722588,-18.62626243,0.20946255326299998,0.228
-9.855340042,-17.1755673,0.279015272856,0.5329999999999999
-12.45818997,-19.91376412,0.233564987779,0.037000000000000005
-7.845775947999999,-15.61706124,0.39221751689900003,0.13699999999999998
-10.591237199999998,-16.23185579,0.316739112139,0.204
-8.326142495,-16.01582791,0.29901969432799996,0.3
-8.910913883,-15.53619892,0.39316880703,0.29600000000000004
-12.59641974,-19.8150473,0.23558889329399998,0.07400000000000001
-12.43793074,-18.81163127,0.156240046024,0.126
-13.37667749,-20.4300832,0.146318882704,0.41100000000000003
-11.30987687,-18.2160924,0.23450936376999998,0.19699999999999998
-12.04716418,-18.19995025,0.343137979507,0.27399999999999997
-7.230608263,-13.67751296,0.42482250928900006,0.16
-9.060760255,-15.38970696,0.39513191580799994,0.22
-11.83696029,-18.36633136,0.224806249142,0.018000000000000002
-10.66416907,-16.33552511,0.108602538705,0.226
-11.65283898,-18.44167372,0.153210178018,0.124
-13.68875438,-19.90607716,0.15687762200799998,0.295
-11.30511954,-16.77926356,0.16862648725499998,0.019
-7.36605899,-14.88136027,0.413484454155,0.171
-12.08,-17.19,0.108903437853,0.368
-6.449899299999999,-13.86130076,0.146131977439,0.271
-5.06003631,-12.77686844,0.15510849654699999,0.32299999999999995
-9.344494878999999,-14.71016469,0.42482250928900006,0.149
-8.693760744,-15.2988113,0.398502767086,0.184
-8.158976626,-15.61183061,0.425519049168,0.153
-6.19906501,-12.81257469,0.363772988319,0.326
-6.169569597000001,-12.00337126,0.315087884665,0.13
-7.285409987,-13.02435518,0.19593515992199997,0.344
-5.774398657000001,-12.34293495,0.42523920536,0.35
-6.585216479,-12.69554485,0.417220830917,0.184
-13.27491097,-19.17686969,0.196696892381,0.09300000000000001
-11.46390124,-18.44456144,0.17751191556499998,0.556
-6.552839455,-13.3726265,0.43909496069,0.267
-10.0355129,-16.07753701,0.312771171331,0.102
-6.982537754,-13.08579098,0.298792332411,0.304
-7.284832497999999,-12.58719615,0.302245140076,0.263
-8.340844022999999,-15.723095,0.417220830917,0.24
-10.34,-17.44,0.19763584434999998,0.07
-9.491380916,-14.86823965,0.118706308305,0.19699999999999998
-13.81113835,-19.98399322,0.0642890408635,0.309
-7.713219167999999,-15.04743159,0.299227714539,0.062
-6.679608355,-12.92550512,0.284688681364,0.306
-10.49752561,-15.87055634,0.312440574169,0.175
-10.38245074,-16.4443534,0.19206142425500003,0.16899999999999998
-8.253367968,-14.34191531,0.291781395674,0.083
-6.4970744179999995,-13.81110728,0.420887410641,0.35
-6.5977215739999995,-12.69708626,0.43026125431100004,0.163
-7.42833278,-13.631326199999998,0.257112234831,0.397
-6.646999217,-13.558288699999999,0.42523920536,0.35200000000000004
-8.238885915,-15.25049054,0.415229648352,0.145
-14.83604307,-22.27204183,0.105093248188,0.43
-10.62185439,-16.51144016,0.139691516757,0.124
-11.71378836,-17.65634048,0.247316628695,0.175
-11.14148612,-16.63208431,0.312465816736,0.10800000000000001
-8.330658973,-15.04136993,0.24802689254299998,0.35
-8.789510631,-14.74183543,0.263342797756,0.364
-8.013670447,-14.86423672,0.315761983395,0.10800000000000001
-7.58,-14.54,0.15640807151799999,0.077
-6.124880657,-12.84137207,0.327764391899,0.23600000000000002
-6.259546092999999,-12.71993774,0.262863904238,0.29100000000000004
-6.385084417000001,-13.00823926,0.255669265985,0.209
-7.018590072,-14.81114847,0.23849876225000002,0.142
-10.88553749,-17.32991421,0.152305975556,0.077
-6.987795051,-14.09454711,0.435098975897,0.223
-12.08682818,-18.05992656,0.24851311743299997,0.121
-9.078814524,-15.74156119,0.177545696497,0.1
-9.646545989,-16.18617625,0.256057262421,0.344
-11.610320300000001,-17.66489826,0.104453489184,0.069
-7.916998059,-14.64908666,0.32683488726599996,0.092
-8.005771461,-15.13537553,0.233027130365,0.37799999999999995
-8.61401697,-14.85712422,0.197491139174,0.35
-8.140658349,-15.03582655,0.36295902729,0.228
-7.74,-14.91,0.116619639099,0.128
-9.846406232,-16.7701136,0.0831959471107,0.177
-10.52553857,-17.23353359,0.132443010807,0.067
-11.68634224,-20.49237489,0.224407166243,0.179
-11.68694315,-18.48290525,0.226529344916,0.05
-12.34004834,-18.05793623,0.100476190448,0.07400000000000001
-7.5207074789999995,-13.08059752,0.254919886589,0.46799999999999997
-7.5207074789999995,-13.08059752,0.254919886589,0.28600000000000003
-11.21306878,-17.37070879,0.168254971504,0.285
-14.83978735,-20.5738241,0.107911743224,0.318
-13.62162697,-20.06002112,0.25216573476799997,0.022000000000000002
-8.325716014,-15.53452003,0.141649365425,0.092
-12.55,-18.01,0.07051440328360001,0.185
-10.89,-15.98,0.256119936705,0.049
-7.762189717999999,-13.99725677,0.0807565823197,0.0
-5.704429861,-12.59478453,0.0734434649348,0.045
-8.951855795,-14.82573207,0.228691592813,0.337
-10.44737899,-16.02164691,0.162618800998,0.07200000000000001
-7.503577362000001,-14.02182094,0.21391713619199998,0.293
-10.95064353,-16.45092235,0.188978224993,0.168
-7.4,-12.62,0.27421349286999996,0.087
-8.783483681,-14.7130485,0.19487227499499998,0.129
-8.615415732999999,-14.22915977,0.175297260284,0.331
-8.355466437999999,-13.93475376,0.210079088807,0.16699999999999998
-9.31330078,-14.60719723,0.318050414324,0.009000000000000001
-9.31330078,-14.60719723,0.289033025503,0.306
-9.289104499,-14.57371092,0.222800001502,0.247
-8.484908298999999,-14.17745415,0.19576780498,0.08
-7.202723281,-12.8717199,0.41928589344000006,0.076
-6.943769877,-12.64689827,0.2582000494,0.409
-6.943769877,-12.64689827,0.2582000494,0.21
-7.495470364,-13.82367706,0.24358274042599998,0.20199999999999999
-11.19518485,-18.20246222,0.139842823148,0.035
-15.59232228,-21.8071023,0.09607432037589998,0.405
-11.42323337,-17.06738238,0.153419837356,0.313
-7.358917015,-12.38422439,0.237454652786,0.349
-8.472297008,-14.04592283,0.472665190697,0.26
-8.85746222,-14.98775127,0.501894712448,0.594
-10.012753199999999,-15.93786658,0.125285208225,0.013999999999999999
-12.68382092,-18.32828013,0.258090168238,0.084
-10.57,-16.19,0.192701205611,0.15
-10.04541933,-15.6375364,0.261316418648,0.153
-13.65676522,-19.75886517,0.145202413201,0.019
-12.46641453,-20.36176959,0.148952558637,0.16399999999999998
-6.9498605289999995,-13.49683043,0.0823336690664,0.0
-9.54665665,-15.23374547,0.155631154776,0.011000000000000001
-5.945557746,-12.67146229,0.119225382805,0.125
-9.454021244,-14.56250293,0.12148299813300001,0.18
-9.880459378,-15.56984708,0.125083580613,0.016
-8.32235918,-14.49199838,0.110939174891,0.035
-10.34904839,-16.90212918,0.112898342311,0.0
-8.852657467,-15.03032042,0.09133209288119999,0.084
-8.278820832000001,-14.17883358,0.13749612867799998,0.071
-6.441288185,-13.10840478,0.114952817559,0.0
-7.132212471,-13.47826853,0.206760421395,0.0
-8.082348726000001,-15.24718097,0.10172717273199999,0.17600000000000002
-8.365696846,-14.22516161,0.24095581471900002,0.12300000000000001
-10.83945523,-17.25902322,0.104295581579,0.046
-11.61556033,-19.00349407,0.141026869416,0.233
-12.69299147,-19.32035823,0.08870979398489999,0.168
-8.807083603999999,-15.18182003,0.22455757856400002,0.045
-9.150171645,-14.782438500000001,0.185668244958,0.23800000000000002
-10.32858646,-15.81353412,0.127829268575,0.33799999999999997
-7.296400757000001,-12.88723969,0.0883542075753,0.077
-13.55,-25.19,0.118216685951,0.011000000000000001
-5.8965721,-12.14792449,0.09900007396939998,0.129
0.748017119,-7.3843869920000005,0.147938892245,0.027999999999999997
-5.8965721,-12.14792449,0.0925335660577,0.040999999999999995
-7.0482097360000004,-14.06038177,0.08891423046589998,0.0
-2.946086307,-10.79199906,0.08471165597439999,0.038
-10.00509805,-14.80008914,0.0700795352459,0.105
-7.280918467999999,-13.29337988,0.0752919390798,0.068
-3.93956977,-10.299626199999999,0.19142383337000002,0.069
-7.75,-13.99,0.24150185286999998,0.099
-14.76384994,-23.80472603,0.0887810587883,0.196
-14.76384994,-23.80472603,0.0887810587883,0.25
-11.34,-16.79,0.11541242897500001,0.376
-12.033543199999999,-18.53199438,0.0696348920465,0.011000000000000001
-13.02512102,-20.10861396,0.07880881428719999,0.29100000000000004
-8.087121715,-14.94201984,0.154640600085,0.003
-11.67447409,-17.84966225,0.11321426183,0.066
-12.44223393,-18.59114194,0.115273959935,0.168
-13.32798461,-20.63734501,0.144296690822,0.456
-11.28128,-17.52710021,0.16413000226,0.019
-6.795862767000001,-13.85149839,0.297640323639,0.07
-13.76962877,-18.72199351,0.072757832706,0.16399999999999998
-10.02767994,-16.31621451,0.10476092994200001,0.0
-7.901356334,-13.43881256,0.09579394757750001,0.073
-7.757781477000001,-13.24448134,0.201913490891,0.395
-8.310835004,-13.73263713,0.216582983732,0.18
-8.118213755,-13.65661967,0.201068475842,0.342
-9.255614291,-14.23364256,0.112925224006,0.012
-8.811191129,-14.13536151,0.0982187837362,0.152
-8.811191129,-14.13536151,0.0827840715647,0.096
-9.191602608,-13.93313604,0.134574905038,0.073
-7.362682148999999,-14.05020072,0.08867417275910001,0.0
-7.033628877000001,-13.53955524,0.0808140560985,0.036000000000000004
-7.949531992000001,-13.58779663,0.0831426009536,0.048
-3.498680368,-10.57257453,0.196210563183,0.069
-10.43873579,-16.18355277,0.117381513119,0.012
-10.00960836,-15.70247439,0.193027123809,0.295
-10.5124523,-16.01424583,0.226614698768,0.11900000000000001
-7.836500903999999,-14.27578134,0.261542618275,0.268
-10.0169865,-16.05105332,0.298907458782,0.341
-7.68,-13.12,0.2518414855,0.081
-8.045365461,-13.51162584,0.224469974637,0.067
-10.903623300000001,-16.25183596,0.10440915823,0.0
-9.622634162,-15.93562164,0.160835489631,0.005
-11.619573800000001,-16.76909701,0.0974349230528,0.355
-8.749330285,-15.47351002,0.147006615996,0.341
-13.26207898,-18.64628663,0.05306966602800001,0.009000000000000001
-5.31559256,-11.36031353,0.212231084704,0.043
-8.217815381,-13.7128962,0.22590149939100002,0.001
-4.492953732,-12.38208727,0.251701951027,0.046
-9.982794851,-16.9209794,0.17700587213,0.27
-9.466358247999999,-16.86659138,0.165669664741,0.004
-7.211539081000001,-13.47827257,0.25825420022,0.265
-8.1728153,-13.78844429,0.249836489558,0.233
-7.4220909729999995,-13.20418186,0.0639383643866,0.231
-9.578305452999999,-14.9936021,0.307825237513,0.018000000000000002
-9.578305452999999,-14.9936021,0.27176684141199997,0.233
-12.19495617,-19.48453842,0.0467199012637,0.102
-9.646442612000001,-14.99263786,0.176383078098,0.267
-7.8096684739999995,-13.99473026,0.278316140175,0.193
-7.5276789520000005,-13.43364339,0.339349776506,0.115
-10.77508419,-22.75786689,0.0473725348711,0.392
-7.822126043,-13.44716021,0.0679641440511,0.027999999999999997
-9.245645112,-15.38171609,0.051047984510699994,0.126
-8.340947981000001,-13.18964852,0.08074226975439999,0.10800000000000001
-9.399983922999999,-16.77230423,0.0453296750784,0.11199999999999999
-8.178891681,-13.22681038,0.0696036368608,0.0
-9.231224953,-14.54387727,0.0787688493729,0.113
-9.168012398,-14.66100825,0.0981176123023,0.016
-4.764569972,-12.15307286,0.09266500175,0.344
-11.51319538,-18.7963718,0.054907515645,0.026000000000000002
-10.99187069,-18.76316252,0.036190744489400004,0.0
-7.682346681,-13.61617878,0.261013239622,0.29
-7.682346681,-13.61617878,0.261013239622,0.121
-7.597844742,-13.93029797,0.24928881228,0.13699999999999998
-14.19841044,-21.42012903,0.0571338310838,0.028999999999999998
-13.89217199,-20.44132837,0.156051889062,0.441
